Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-09T21:27:52-04:00
Running ./reclaim_array_bm
Run on (8 X 24 MHz CPU s)
Load Average: 3.56, 2.61, 2.53
-------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                 Time             CPU   Iterations UserCounters...
BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_stddev        8.31 ns          774 ns           20 items_per_second=92.9916k/s time_per_reclaiming_write=8.30535ns
BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_cv            2.80 %          2.37 %            20 items_per_second=2.75% time_per_reclaiming_write=2.80%
BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_mean           575 ns        33819 ns           20 items_per_second=1.74145M/s time_per_reclaiming_write=574.97ns
BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_median         577 ns        33715 ns           20 items_per_second=1.73281M/s time_per_reclaiming_write=577.097ns
BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_stddev        20.8 ns          662 ns           20 items_per_second=64.8221k/s time_per_reclaiming_write=20.818ns
BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_cv            3.62 %          1.96 %            20 items_per_second=3.72% time_per_reclaiming_write=3.62%
BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_mean         1515 ns        36987 ns           20 items_per_second=797.199k/s time_per_reclaiming_write=1.51547us
BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_median       1200 ns        37055 ns           20 items_per_second=833.379k/s time_per_reclaiming_write=1.19994us
BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_stddev       1396 ns          713 ns           20 items_per_second=159.266k/s time_per_reclaiming_write=1.3955us
BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_cv          92.08 %          1.93 %            20 items_per_second=19.98% time_per_reclaiming_write=92.08%
BM_reclaim_subscriber_scaling/iterations:1000/manual_time_BigO                        11.17 N        407.79 N    
BM_reclaim_subscriber_scaling/iterations:1000/manual_time_RMS                           139 %            76 %    
