2026-08-09T21:27:18-04:00
Running ./reclaim_vector_bm
Run on (8 X 24 MHz CPU s)
Load Average: 2.99, 2.38, 2.46
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"time_per_reclaiming_write"
"BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_median",20,331.49,28677.5,ns,,3.01669e+06,,,,3.3149e-07
"BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_stddev",20,19.736,823.192,ns,,154951,,,,1.9736e-08
"BM_reclaim_subscriber_scaling/subscribers:32/iterations:1000/manual_time_cv",20,0.0584038,0.0285327,,,0.0522104,,,,0.0584038
"BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_mean",20,680.574,31033.2,ns,,1.47072e+06,,,,6.80574e-07
"BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_median",20,679.293,30974.5,ns,,1.47212e+06,,,,6.79293e-07
"BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_stddev",20,21.3179,780.879,ns,,46141.3,,,,2.13179e-08
"BM_reclaim_subscriber_scaling/subscribers:64/iterations:1000/manual_time_cv",20,0.0313234,0.0251627,,,0.0313732,,,,0.0313234
"BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_mean",20,1501.64,34504.4,ns,,666215,,,,1.50164e-06
"BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_median",20,1496.68,34417.5,ns,,668145,,,,1.49668e-06
"BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_stddev",20,31.5493,904.985,ns,,13910.2,,,,3.15493e-08
"BM_reclaim_subscriber_scaling/subscribers:128/iterations:1000/manual_time_cv",20,0.0210099,0.0262281,,,0.0208794,,,,0.0210099
"BM_reclaim_subscriber_scaling/iterations:1000/manual_time_BigO",,11.465,374.324,N,,,,,,
"BM_reclaim_subscriber_scaling/iterations:1000/manual_time_RMS",,9.30696e-11,7.39471e-10,,,,,,,
