Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2026-08-09T21:27:18-04:00
Running ./reclaim_vector_bm
Run on (8 X 24 MHz CPU s)
Load Average: 2.99, 2.38, 2.46
-------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                 Time             CPU   Iterations UserCounters...
BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_mean           47.9 ns        27011 ns           20 items_per_second=20.9574M/s time_per_reclaiming_write=47.864ns
BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_median         47.4 ns        27025 ns           20 items_per_second=21.0986M/s time_per_reclaiming_write=47.3965ns
BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_stddev         2.91 ns          481 ns           20 items_per_second=1.12925M/s time_per_reclaiming_write=2.90938ns
BM_reclaim_subscriber_scaling/subscribers:2/iterations:1000/manual_time_cv             6.08 %          1.78 %            20 items_per_second=5.39% time_per_reclaiming_write=6.08%
BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_mean           72.1 ns        27128 ns           20 items_per_second=13.8933M/s time_per_reclaiming_write=72.1018ns
BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_median         71.5 ns        27162 ns           20 items_per_second=13.9876M/s time_per_reclaiming_write=71.492ns
BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_stddev         3.23 ns          504 ns           20 items_per_second=564.586k/s time_per_reclaiming_write=3.23473ns
BM_reclaim_subscriber_scaling/subscribers:4/iterations:1000/manual_time_cv             4.49 %          1.86 %            20 items_per_second=4.06% time_per_reclaiming_write=4.49%
BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_mean            106 ns        27456 ns           20 items_per_second=9.45767M/s time_per_reclaiming_write=106.439ns
BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_median          103 ns        27433 ns           20 items_per_second=9.71014M/s time_per_reclaiming_write=102.987ns
BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_stddev         9.46 ns          517 ns           20 items_per_second=743.736k/s time_per_reclaiming_write=9.46455ns
BM_reclaim_subscriber_scaling/subscribers:8/iterations:1000/manual_time_cv             8.89 %          1.88 %            20 items_per_second=7.86% time_per_reclaiming_write=8.89%
BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_mean           162 ns        27640 ns           20 items_per_second=6.17728M/s time_per_reclaiming_write=162.47ns
BM_reclaim_subscriber_scaling/subscribers:16/iterations:1000/manual_time_median         164 ns        27646 ns           20 items_per_second=6.07997M/s time_per_reclaiming_write=164.477ns
